ts,ihd03A,ihd05A,ihd07A,ithdA
1588750881385,92.25,79.53,64.15,168.96
1588750881405,92.25,79.53,64.28,169.03
1588750881429,92.3,79.59,64.43,169.0
1588750881450,92.23,79.61,64.53,168.88
1588750881470,92.09,79.57,64.44,168.99
1588750881490,91.8,79.36,64.17,168.52
1588750881510,91.47,78.97,63.83,167.67
1588750881531,91.35,78.7,63.63,167.07
1588750881551,91.17,78.52,63.47,166.66
1588750881571,91.24,78.45,63.5,166.8
1588750881592,91.44,78.56,63.67,167.33
1588750881612,91.55,78.65,63.79,167.74
1588750881633,91.8,78.84,64.0,168.32
1588750881653,91.83,78.97,64.01,168.62
1588750881673,91.86,78.97,63.96,169.08
1588750881693,91.82,78.92,63.82,169.29
1588750881713,91.78,78.9,63.59,169.22
1588750881734,91.82,78.81,63.46,169.1
1588750881755,92.05,78.83,63.34,169.13
1588750881779,92.24,78.8,63.24,169.21
1588750881800,92.38,78.94,63.24,169.28
1588750881820,92.51,79.06,63.21,169.38
1588750881840,92.62,79.16,63.28,169.52
1588750881860,92.88,79.32,63.35,169.72
1588750881881,93.04,79.45,63.37,169.92
1588750881901,93.28,79.51,63.53,170.07
1588750881921,93.34,79.54,63.61,170.15
1588750881942,93.45,79.61,63.64,170.1
1588750881962,93.35,79.55,63.68,170.16
1588750881983,93.18,79.56,63.65,170.07
1588750882003,92.95,79.59,63.64,170.08
1588750882023,92.58,79.58,63.66,169.92
1588750882044,92.18,79.55,63.7,169.64
1588750882064,91.78,79.38,63.62,169.38
1588750882085,91.45,79.31,63.66,169.13
1588750882106,91.24,79.17,63.52,168.93
1588750882128,91.13,79.07,63.38,168.44
1588750882148,91.07,78.89,63.1,167.7
1588750882170,90.98,78.68,62.73,166.99
1588750882191,90.89,78.46,62.42,166.33
1588750882212,90.75,78.31,62.2,165.85
1588750882233,90.59,78.31,62.03,165.55
1588750882254,90.41,78.27,61.91,165.54
1588750882278,90.38,78.29,61.93,165.89
1588750882299,90.5,78.34,61.95,166.48
1588750882320,90.69,78.36,61.94,166.91
1588750882341,90.96,78.39,62.05,166.94
1588750882362,91.19,78.4,62.06,166.98
1588750882383,91.39,78.43,62.03,166.87
1588750882404,91.51,78.5,61.99,166.78
1588750882428,91.59,78.57,61.98,166.86
1588750882449,91.65,78.65,62.14,167.13
1588750882469,91.5,78.68,62.2,167.35
1588750882489,91.45,78.7,62.34,167.66
1588750882509,91.36,78.76,62.39,167.98
1588750882529,91.41,78.81,62.5,168.36
1588750882550,91.49,78.82,62.62,168.72
1588750882570,91.55,78.8,62.95,169.04
1588750882590,91.52,78.8,63.09,169.15
1588750882610,91.46,78.75,63.4,169.25
1588750882630,91.43,78.76,63.59,169.23
1588750882650,91.36,78.86,63.85,169.26
1588750882670,91.39,78.93,64.03,169.21
1588750882691,91.44,78.95,64.16,169.14
