ts,ihd03A,ihd05A,ihd07A,ithdA
1588748841576,89.87,73.74,52.75,139.25
1588748841597,90.25,73.87,52.57,139.44
1588748841617,90.46,73.78,52.5,139.27
1588748841638,90.52,73.69,52.44,139.1
1588748841658,90.49,73.52,52.54,138.93
1588748841678,90.51,73.31,52.59,138.76
1588748841698,90.32,72.98,52.59,138.43
1588748841718,90.15,72.66,52.55,138.12
1588748841745,90.03,72.38,52.54,137.9
1588748841766,90.05,72.15,52.37,137.85
1588748841787,90.0,72.02,52.4,137.82
1588748841807,90.0,71.99,52.49,137.83
1588748841832,90.06,72.08,52.55,138.01
1588748841853,90.3,72.24,52.71,138.47
1588748841873,90.44,72.48,52.88,138.76
1588748841893,90.7,72.66,53.05,139.18
1588748841913,90.78,72.75,53.16,139.42
1588748841933,90.7,72.72,53.26,139.51
1588748841953,90.57,72.72,53.45,139.67
1588748841973,90.43,72.81,53.6,139.76
1588748841993,90.45,73.05,53.88,139.97
1588748842013,90.38,73.21,54.02,140.12
1588748842034,90.26,73.27,54.0,140.06
1588748842054,90.05,73.26,53.87,139.73
1588748842075,89.91,73.16,53.73,139.38
1588748842095,89.56,72.9,53.57,138.55
1588748842115,89.36,72.75,53.4,138.03
1588748842136,89.16,72.57,53.27,137.64
1588748842156,89.01,72.47,53.11,137.33
1588748842176,89.01,72.38,53.02,137.22
1588748842196,89.06,72.49,53.02,137.44
1588748842216,89.11,72.67,53.07,137.79
1588748842236,89.21,72.96,53.07,138.19
1588748842256,89.36,73.39,53.17,138.68
1588748842276,89.55,73.77,53.22,139.23
1588748842296,89.73,74.07,53.36,139.73
1588748842317,89.88,74.28,53.45,140.05
1588748842338,90.13,74.42,53.72,140.57
1588748842362,90.4,74.5,53.86,140.8
1588748842382,90.64,74.39,54.08,141.09
1588748842402,90.78,74.35,54.28,141.26
1588748842424,90.97,74.29,54.38,141.38
1588748842444,91.1,74.25,54.53,141.49
1588748842464,91.08,74.24,54.51,141.54
1588748842484,91.01,74.26,54.55,141.42
1588748842504,90.91,74.27,54.49,141.27
1588748842525,90.67,74.2,54.45,141.07
1588748842545,90.34,74.16,54.35,140.75
1588748842566,89.98,74.07,54.28,140.4
1588748842586,89.8,73.99,54.31,140.25
1588748842606,89.62,73.83,54.43,140.1
1588748842626,89.48,73.7,54.48,140.02
1588748842647,89.47,73.54,54.59,139.79
1588748842667,89.4,73.31,54.71,139.67
1588748842687,89.44,73.19,54.69,139.61
1588748842707,89.45,73.22,54.54,139.49
1588748842727,89.32,73.11,54.31,139.21
1588748842747,89.12,73.02,54.16,138.86
1588748842767,88.97,72.96,53.95,138.66
1588748842787,88.85,72.93,53.68,138.36
1588748842807,88.75,72.99,53.65,138.31
1588748842827,88.82,73.11,53.56,138.37
1588748842847,88.88,73.15,53.56,138.52
1588748842867,89.01,73.17,53.56,138.72
1588748842887,89.17,73.23,53.52,138.92
1588748842910,89.34,73.23,53.52,139.01
1588748842930,89.34,73.1,53.41,138.91
1588748842950,89.35,72.81,53.35,138.62
1588748842974,89.36,72.6,53.2,138.24
1588748842994,89.38,72.35,53.08,137.81
1588748843014,89.41,72.22,52.96,137.65
1588748843034,89.4,72.2,52.84,137.51
1588748843054,89.42,72.35,52.8,137.71
1588748843074,89.46,72.52,52.75,137.95
1588748843095,89.58,72.82,52.96,138.52
1588748843115,89.56,73.09,53.02,138.87
1588748843135,89.62,73.3,53.1,139.19
1588748843155,89.61,73.44,53.14,139.31
1588748843176,89.55,73.54,53.15,139.34
1588748843197,89.49,73.58,53.2,139.25
1588748843217,89.44,73.47,53.13,139.05
1588748843237,89.33,73.55,53.23,138.95
1588748843257,89.36,73.58,53.28,138.95
1588748843277,89.42,73.65,53.27,138.92
1588748843297,89.61,73.75,53.19,139.03
1588748843317,89.67,73.88,53.14,139.12
1588748843337,89.85,74.04,53.13,139.27
1588748843357,89.96,74.14,53.18,139.44
1588748843377,90.02,74.18,53.3,139.53
1588748843397,89.93,74.27,53.3,139.45
1588748843418,89.71,74.22,53.27,139.36
1588748843438,89.49,74.11,53.19,139.15
1588748843458,89.29,74.02,53.21,138.9
1588748843478,89.1,73.67,53.14,138.55
1588748843498,89.06,73.39,53.12,138.41
1588748843518,89.02,73.11,53.18,138.27
1588748843538,89.0,72.93,53.17,138.24
1588748843558,88.99,72.83,53.07,138.13
1588748843578,89.0,72.76,53.08,138.07
1588748843598,89.16,72.82,53.13,138.27
1588748843618,89.14,73.03,53.33,138.44
1588748843638,89.1,73.17,53.39,138.39
1588748843658,88.96,73.29,53.52,138.38
1588748843678,88.86,73.45,53.6,138.35
1588748843698,88.87,73.71,53.69,138.55
1588748843718,88.89,73.9,53.79,138.75
1588748843738,88.87,74.05,53.78,138.89
1588748843762,88.94,74.2,53.68,139.02
1588748843782,88.99,74.34,53.57,139.05
1588748843802,89.07,74.42,53.48,139.13
1588748843822,89.17,74.44,53.42,139.16
1588748843842,89.29,74.3,53.36,139.22
1588748843862,89.43,74.18,53.31,139.39
1588748843882,89.63,74.1,53.37,139.57
