ts,ihd03A,ihd05A,ihd07A,ithdA
1588747440253,13.31,6.76,2.27,19.95
1588747440273,13.16,6.74,2.35,20.05
1588747440293,12.97,6.75,2.44,20.03
1588747440313,12.81,6.75,2.54,19.94
1588747440333,12.64,6.74,2.61,19.77
1588747440353,12.49,6.74,2.7,19.57
1588747440373,12.38,6.76,2.72,19.31
1588747440393,12.27,6.82,2.72,19.07
1588747440413,12.21,6.88,2.67,18.82
1588747440433,12.15,6.97,2.6,18.64
1588747440453,12.13,7.09,2.5,18.51
1588747440473,12.1,7.18,2.41,18.46
1588747440493,12.11,7.28,2.34,18.56
1588747440513,12.14,7.36,2.22,18.72
1588747440533,12.19,7.41,2.15,18.89
1588747440553,12.25,7.44,2.06,19.07
1588747440573,12.32,7.44,1.99,19.22
1588747440593,12.44,7.44,1.89,19.31
1588747440613,12.51,7.44,1.84,19.31
1588747440633,12.71,7.38,1.77,19.24
1588747440653,12.83,7.32,1.77,19.1
1588747440673,12.99,7.29,1.81,18.92
1588747440693,13.12,7.26,1.88,18.78
1588747440713,13.23,7.21,2.0,18.7
1588747440733,13.32,7.16,2.09,18.65
1588747440753,13.35,7.12,2.19,18.66
1588747440773,13.37,7.08,2.29,18.82
1588747440793,13.33,7.04,2.34,18.98
1588747440813,13.24,7.01,2.44,19.31
1588747440833,13.1,7.0,2.46,19.54
1588747440853,12.96,7.01,2.49,19.74
1588747440873,12.79,7.05,2.5,19.89
1588747440893,12.66,7.08,2.5,20.0
1588747440913,12.54,7.1,2.52,20.0
1588747440933,12.46,7.12,2.55,19.9
1588747440953,12.37,7.14,2.54,19.63
1588747440973,12.33,7.12,2.54,19.29
1588747440993,12.31,7.13,2.53,18.9
1588747441013,12.28,7.17,2.53,18.58
1588747441033,12.27,7.16,2.5,18.42
1588747441053,12.27,7.17,2.5,18.08
1588747441073,12.26,7.19,2.47,17.95
1588747441093,12.28,7.21,2.45,17.98
1588747441113,12.3,7.23,2.4,18.14
1588747441133,12.37,7.28,2.35,18.33
1588747441153,12.48,7.32,2.33,18.56
1588747441173,12.63,7.35,2.3,18.8
1588747441193,12.79,7.35,2.28,19.01
1588747441213,12.95,7.37,2.26,19.12
1588747441233,13.08,7.36,2.25,19.16
1588747441253,13.17,7.36,2.25,19.15
1588747441273,13.31,7.36,2.28,19.14
1588747441293,13.4,7.36,2.3,19.14
1588747441313,13.5,7.31,2.35,19.17
1588747441333,13.58,7.25,2.4,19.25
1588747441353,13.63,7.2,2.42,19.33
1588747441373,13.68,7.09,2.45,19.5
1588747441393,13.64,7.01,2.47,19.64
1588747441413,13.59,6.95,2.53,19.81
1588747441433,13.47,6.88,2.6,19.91
1588747441453,13.32,6.85,2.65,19.95
1588747441478,13.14,6.81,2.72,19.98
1588747441498,12.92,6.81,2.77,19.95
1588747441518,12.78,6.84,2.8,19.96
1588747441538,12.62,6.89,2.82,19.92
1588747441559,12.52,6.91,2.85,19.81
1588747441579,12.43,6.97,2.82,19.53
1588747441599,12.4,6.99,2.77,19.32
1588747441619,12.36,7.03,2.69,19.08
1588747441639,12.34,7.07,2.64,18.83
1588747441659,12.31,7.09,2.57,18.74
1588747441679,12.3,7.11,2.5,18.61
1588747441699,12.3,7.15,2.45,18.56
1588747441719,12.33,7.2,2.4,18.59
1588747441739,12.36,7.25,2.36,18.72
1588747441759,12.39,7.28,2.31,18.89
1588747441779,12.49,7.31,2.24,19.07
1588747441799,12.64,7.29,2.22,19.22
1588747441819,12.78,7.26,2.2,19.38
1588747441839,12.96,7.24,2.2,19.44
1588747441859,13.09,7.23,2.22,19.43
1588747441879,13.29,7.25,2.26,19.27
1588747441899,13.43,7.27,2.33,19.19
1588747441919,13.5,7.29,2.4,19.19
1588747441939,13.53,7.29,2.45,19.22
1588747441959,13.51,7.3,2.45,19.25
1588747441979,13.46,7.24,2.43,19.38
1588747441999,13.39,7.18,2.41,19.55
1588747442019,13.27,7.1,2.37,19.74
1588747442039,13.11,6.99,2.33,19.89
1588747442059,12.98,6.91,2.33,19.99
1588747442079,12.79,6.8,2.36,20.12
1588747442099,12.63,6.73,2.38,20.15
1588747442119,12.48,6.65,2.43,20.0
1588747442139,12.34,6.62,2.47,19.69
1588747442159,12.28,6.61,2.5,19.4
1588747442181,12.19,6.6,2.56,18.91
1588747442201,12.14,6.61,2.6,18.52
1588747442221,12.12,6.65,2.6,18.23
1588747442241,12.11,6.72,2.6,18.1
1588747442261,12.1,6.8,2.55,17.94
1588747442282,12.05,6.92,2.45,17.94
1588747442302,12.03,6.99,2.36,18.01
1588747442322,12.01,7.07,2.24,18.19
1588747442342,12.04,7.1,2.15,18.37
1588747442362,12.13,7.08,2.01,18.59
1588747442382,12.25,7.04,1.89,18.82
1588747442402,12.38,7.02,1.8,18.99
1588747442422,12.54,6.97,1.77,19.14
1588747442442,12.71,6.94,1.77,19.18
1588747442462,12.87,6.92,1.84,19.15
1588747442482,13.02,6.91,1.96,19.06
1588747442502,13.16,6.91,2.08,18.96
1588747442522,13.28,6.91,2.22,18.92
1588747442542,13.33,6.94,2.29,18.9
1588747442562,13.4,6.92,2.39,19.07
1588747442582,13.39,6.91,2.47,19.26
1588747442602,13.35,6.87,2.52,19.51
1588747442622,13.27,6.86,2.59,19.71
1588747442642,13.17,6.84,2.64,19.88
1588747442662,13.01,6.83,2.72,19.92
1588747442682,12.85,6.83,2.77,19.93
1588747442702,12.71,6.83,2.79,19.83
1588747442722,12.56,6.83,2.79,19.68
1588747442742,12.41,6.82,2.81,19.45
1588747442762,12.3,6.82,2.79,19.25
1588747442782,12.17,6.83,2.71,18.84
